,Ruta,Nombres
48,D21,D21                        Portal Tunal - Portal de la 80                    L-S            | 04:00 AM            - 11:00 PM
49,D22,D22                        Portal Sur - JFK Coop.Financiera - Portal de la 80                    L-S            | 04:30 AM            - 11:30 PM D-F            | 05:30 AM            - 10:30 PM
50,D24,D24                        Universidades - Portal de la 80                    L-V            | 06:00 AM            - 11:00 PM S            | 06:00 AM            - 09:00 PM
51,D55,D55                        Toberín - Foundever - Calle 80                    L-V            | 03:00 PM            - 08:00 PM
52,D81,D81                        Portal 20 de Julio -  Barrio El Cortijo                    L-V            | 05:00 AM            - 11:00 PM S            | 05:00 AM            - 10:30 PM D-F            | 05:00 AM            - 10:00 PM
53,D81,D81                        Portal 20 de Julio -  Barrio El Cortijo (Ciclovía)                    D-F            | 07:00 AM            - 02:00 PM
54,E32,E32                        Portal de las Américas - NQS Calle 75 - Zona M                    L-V            | 04:00 AM            - 09:00 PM S            | 04:00 AM            - 08:00 PM D-F            | 05:00 AM            - 10:00 PM
55,E42,E42                        San Mateo - C.C. Unisur - 7 de Agosto                    L-S            | 04:00 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
56,Eldorado,Eldorado                        Portal Eldorado C.C. Nuestro Bogotá - Maluma                    S            | 10:50 PM            - 12:00 AM
57,F19,F19                        Portal Suba - Banderas                    L-S            | 04:30 AM            - 10:00 PM
58,F23,F23                        Las Aguas - Centro Colombo Americano - Portal de las Américas                    L-S            | 05:00 AM            - 11:00 PM D-F            | 05:30 AM            - 10:00 PM
59,F26,F26                        Alcalá - Colegio S.Tomás Dominicos - Portal Américas                    L-V            | 03:00 PM            - 08:00 PM S            | 12:00 PM            - 06:00 PM
60,F28,F28                        Portal Norte - Portal Américas                    L-S            | 05:00 AM            - 08:00 PM
61,F32,F32                        NQS Calle 75 - Zona M - Portal de las Americas                    L-V            | 05:00 AM            - 10:00 PM S            | 05:00 AM            - 08:00 PM D-F            | 05:30 AM            - 10:00 PM
62,F51,F51                        Museo Nacional - Portal de las Américas                    L-S            | 05:00 AM            - 11:00 PM
63,F60,F60                        Calle 76 San Felipe - Portal Américas                    L-D            | 05:00 AM            - 10:00 PM
64,F61,F61                        Polo FINCOMERCIO - Portal Américas                    L-V            | 03:00 PM            - 08:00 PM
65,G11,G11                        Terminal - Portal Sur - JFK Coop.Financiera                    L-V            | 06:00 AM            - 10:00 PM S            | 06:30 AM            - 10:00 PM
66,G12,G12                        Portal del Norte - Portal Sur - JFK Coop.Financiera                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:30 AM            - 10:00 PM
67,G22,G22                        Portal de la 80 - Portal Sur - JFK Coop.Financiera                    L-S            | 05:00 AM            - 11:00 PM D-F            | 05:30 AM            - 10:00 PM
68,G30,G30                        Portal Suba - Portal Sur - JFK Coop.Financiera                    L-V            | 04:30 AM            - 09:00 AM L-V            | 03:00 PM            - 08:00 PM S            | 05:00 AM            - 03:00 PM
69,G41,G41                        Bicentenario - San Mateo - C.C. Unisur                    L-V            | 05:00 AM            - 09:00 PM S            | 05:00 AM            - 09:00 PM
70,G42,G42                        7 de Agosto - San Mateo -  C.C. Unisur                    L-V            | 04:30 AM            - 11:00 PM S            | 05:00 AM            - 11:00 PM D-F            | 05:00 AM            - 10:00 PM
